doc_id,source,source_document_id,title,pages,summary,keywords,detail_url,pdf_url
rtve_1860,rtve_buscador,1860,Vista oral 2/81 del Consejo Supremo de Justicia Militar (20 de febrero de 1982).,3,"El juicio oral 2/81 celebrado en febrero de 1982 se caracterizó por un intenso desarrollo en sus primeras sesiones, con declaraciones parciales de altos mandos militares y certificaciones oficiales, aunque plagado de controversias por la interpretación y selección de testimonios, especialmente en re...",C/SG/2820/20-02-82 DTOR. Vista oral 2/81,https://23fbuscador.rtve.es/document/ocr/1860?page_size=200&page=1,https://www.rtve.es/contenidos/documentos/23f-desclasificado/99_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_20_de_febrero_de_1982.pdf
rtve_1859,rtve_buscador,1859,Vista oral 2/81 del Consejo Supremo de Justicia Militar (22 de febrero de 1982).,4,"Resumen global del documento:

El documento recoge el desarrollo de una serie de sesiones celebradas el 22 de febrero de 1982 por el Consejo Supremo de Justicia Militar, donde se analizaron declaraciones y diligencias relacionadas con hechos militares y posibles conspiraciones. A lo largo de las ses...",C/SG/2896/22-02-82 Vista oral 2/81 Consejo Supremo de Justicia Militar,https://23fbuscador.rtve.es/document/ocr/1859?page_size=200&page=1,https://www.rtve.es/contenidos/documentos/23f-desclasificado/98_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_22_de_febrero_de_1982.pdf
rtve_1858,rtve_buscador,1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,5,"Resumen global del documento:

El documento narra el desarrollo tenso y conflictivo de una serie de sesiones del Consejo Supremo de Justicia Militar en febrero de 1982, marcadas por polémicas en torno a la cobertura mediática del Diario 16 y la actitud de los procesados, defensores y fuerzas militar...",C/SG/2992/24-02-82 Vista Oral 2/81 Consejo Supremo de Justicia Militar,https://23fbuscador.rtve.es/document/ocr/1858?page_size=200&page=1,https://www.rtve.es/contenidos/documentos/23f-desclasificado/97_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_24_de_febrero_de_1982.pdf
rtve_1857,rtve_buscador,1857,Vista oral 2/81 del Consejo Supremo de Justicia Militar (25 de febrero de 1982).,6,"El documento recoge el desarrollo de la sesión del Consejo Supremo de Justicia Militar en febrero de 1982 relativa al juicio por los sucesos del 23-F. A lo largo de varias jornadas, se leen declaraciones y hojas de servicio de los procesados, con intervenciones del Fiscal, defensores y acusados, mar...",C/SG/3.081/25-02-82 Vista Oral 2/81 Consejo Supremo de Justicia Militar,https://23fbuscador.rtve.es/document/ocr/1857?page_size=200&page=1,https://www.rtve.es/contenidos/documentos/23f-desclasificado/96_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_25_de_febrero_de_1982.pdf
rtve_1856,rtve_buscador,1856,Vista oral 2/81 del Consejo Supremo de Justicia Militar (26 de febrero de 1982).,6,"Resumen global del documento sobre la sesión del Consejo Supremo de Justicia Militar (26-02-1982):

Durante la sesión del 26 de febrero de 1982, que transcurrió de 10 a 18 horas, la defensa del General Armada, encabezada por el abogado Hermosilla, se centró en demostrar la ausencia de implicación de...",C/SG/3.249/26-02-82 SG Consejo Supremo de Justicia Militar,https://23fbuscador.rtve.es/document/ocr/1856?page_size=200&page=1,https://www.rtve.es/contenidos/documentos/23f-desclasificado/95_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_26_de_febrero_de_1982.pdf
rtve_1855,rtve_buscador,1855,Información integrada (11 de marzo de 1982).,2,"El documento aborda el desarrollo y contexto de la causa judicial 2/81 relacionada con un intento de golpe de estado. En la reanudación de la vista pública, se resolvió favorablemente un incidente sobre el orden de interrogatorios, mientras que la defensa intenta implicar al Rey y mencionar otros po...",N/RFA:C/DI/ 4132 /11-3-82 Vista pública Causa 2/81,https://23fbuscador.rtve.es/document/ocr/1855?page_size=200&page=1,https://www.rtve.es/contenidos/documentos/23f-desclasificado/94_1982_informacion_integrada_11_de_marzo_de_1982.pdf
rtve_1854,rtve_buscador,1854,Información integrada (16 de marzo de 1982).,2,"El informe C/DI/4339/16-03-82 analiza la situación jurídica y social derivada de la causa 2/81. En la vista pública, aunque se observan pocos avances legales, se registran fuertes reacciones, con declaraciones contrapuestas de procesados y un impacto negativo en ciertas tesis militares, generando pr...",C/DI/4339/16-03-82 DTOR. vista pública,https://23fbuscador.rtve.es/document/ocr/1854?page_size=200&page=1,https://www.rtve.es/contenidos/documentos/23f-desclasificado/93_1982_informacion_integrada_16_de_marzo_de_1982.pdf
rtve_1853,rtve_buscador,1853,Vista oral 2/81 del Consejo Supremo de Justicia Militar (2 de marzo de 1982).,10,"Resumen global del documento sobre el intento de golpe de Estado del 23-F:

El documento recoge en detalle las sesiones del juicio militar de 1982 contra los implicados en el intento de golpe de Estado del 23 de febrero de 1981 en España, así como críticas y denuncias relacionadas con el proceso. Du...",C/SG/3.464/02-03-82 D'OR Vista oral,https://23fbuscador.rtve.es/document/ocr/1853?page_size=200&page=1,https://www.rtve.es/contenidos/documentos/23f-desclasificado/92_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_2_de_marzo_de_1982.pdf
rtve_1852,rtve_buscador,1852,Vista oral 2/81 del Consejo Supremo de Justicia Militar (5 de marzo de 1982).,8,"Resumen global:

Las sesiones judiciales de marzo de 1982 se centraron en la defensa y esclarecimiento de los hechos relacionados con el asalto al Congreso ocurrido el 23 de febrero. Durante las audiencias, los defensores de varios oficiales, entre ellos el Teniente Coronel Tejero, presentaron numer...",C/SG/3644/05-03-82 Vista oral Causa 2/81,https://23fbuscador.rtve.es/document/ocr/1852?page_size=200&page=1,https://www.rtve.es/contenidos/documentos/23f-desclasificado/91_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_5_de_marzo_de_1982.pdf
rtve_1851,rtve_buscador,1851,Vista oral 2/81 del Consejo Supremo de Justicia Militar (8 de marzo de 1982).,5,"Resumen global:

El documento corresponde al desarrollo del juicio en la causa 2/81 del Consejo Supremo de Justicia Militar, centrado en el levantamiento armado liderado por el Teniente Coronel Tejero y el papel de diversos altos mandos militares. A lo largo de las sesiones, se registran las defensa...",C/SG/3835/08-03-82 NOTA INFORMATIVA VISTA ORAL,https://23fbuscador.rtve.es/document/ocr/1851?page_size=200&page=1,https://www.rtve.es/contenidos/documentos/23f-desclasificado/90_1982_vista_oral_281_del_consejo_supremo_de_justicia_militar_8_de_marzo_de_1982.pdf
