moncloa_id,moncloa_title,moncloa_pdf_url,moncloa_pdf_filename,moncloa_section,moncloa_subsection,moncloa_date,matched_rtve_doc_id,rtve_title,rtve_pdf_url,rtve_pdf_filename,rtve_date,match_score,match_status,match_method,notes,final_match_status,manual_review,final_notes
moncloa_0093,Información integrada (16 de marzo de 1982).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_64_R.pdf,Documento_64_R.pdf,defensa,cni,1982-03-16,rtve_1854,Información integrada (16 de marzo de 1982).,https://www.rtve.es/contenidos/documentos/23f-desclasificado/93_1982_informacion_integrada_16_de_marzo_de_1982.pdf,93_1982_informacion_integrada_16_de_marzo_de_1982.pdf,1982-03-16,1.0,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0040,Ambiente en los cuarteles (25 de febrero de 1982).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_11_R.pdf,Documento_11_R.pdf,defensa,cni,1982-02-25,rtve_1801,Ambiente en los cuarteles (25 de febrero de 1982).,https://www.rtve.es/contenidos/documentos/23f-desclasificado/40_1982_ambiente_en_los_cuarteles_25_de_febrero_de_1982.pdf,40_1982_ambiente_en_los_cuarteles_25_de_febrero_de_1982.pdf,1982-02-25,1.0,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0023,Policía Nacional. Informe de situación. Marca: reservado-confidencial (12 de noviembre de 1981).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/archivo/1_PN_Informe_Situacion_12-11-81_desp.pdf,1_PN_Informe_Situacion_12-11-81_desp.pdf,interior,archivo,1981-11-12,rtve_1784,Policía Nacional. Informe de situación. Marca: reservado-confidencial (12 de noviembre de 1981).,https://www.rtve.es/contenidos/documentos/23f-desclasificado/23_1981_policia_nacional_informe_de_situacion_marca_reservado_confidencial_12_de_noviemb.pdf,23_1981_policia_nacional_informe_de_situacion_marca_reservado_confidencial_12_de_noviemb.pdf,1981-11-12,1.0,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0076,Información integrada (5 de abril de 1982).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_47_R.pdf,Documento_47_R.pdf,defensa,cni,1982-04-05,rtve_1837,Información integrada (5 de abril de 1982).,https://www.rtve.es/contenidos/documentos/23f-desclasificado/76_1982_informacion_integrada_5_de_abril_de_1982.pdf,76_1982_informacion_integrada_5_de_abril_de_1982.pdf,1982-04-05,1.0,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0017,Nota de la Brigada de Información Interior: Ayudas a los implicados en el 23-F. Desde altas instancias castrenses campaña de ayuda económica para los implicados en el 23-F (18 de marzo de 1981).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/policia/18-03-81_NOTA_INFORMATIVA_SOBRE_LA_AYUDA_A_LOS_IMPLICADOS_23F.pdf,18-03-81_NOTA_INFORMATIVA_SOBRE_LA_AYUDA_A_LOS_IMPLICADOS_23F.pdf,interior,policia,1981-03-18,rtve_1778,Nota de la Brigada de Información Interior: Ayudas a los implicados en el 23-F. Desde altas instancias castrenses campaña de ayuda económica para los implicados en el 23-F (18 de marzo de 1981).,https://www.rtve.es/contenidos/documentos/23f-desclasificado/17_1981_nota_de_la_brigada_de_informacion_interior_ayudas_a_los_implicados_en_el_23_f_de.pdf,17_1981_nota_de_la_brigada_de_informacion_interior_ayudas_a_los_implicados_en_el_23_f_de.pdf,1981-03-18,1.0,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0074,Información integrada (20 de abril de 1982).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_45_R.pdf,Documento_45_R.pdf,defensa,cni,1982-04-20,rtve_1835,Información integrada (20 de abril de 1982).,https://www.rtve.es/contenidos/documentos/23f-desclasificado/74_1982_informacion_integrada_20_de_abril_de_1982.pdf,74_1982_informacion_integrada_20_de_abril_de_1982.pdf,1982-04-20,1.0,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0020,Nota: Partido Comunista de España PCE. Intento de la extrema derecha de implicar a la monarquía en el 23-F (11 de mayo de 1981).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/policia/11-05-81_NOTA_INFORMATIVA_SOBRE_EL_PCE.pdf,11-05-81_NOTA_INFORMATIVA_SOBRE_EL_PCE.pdf,interior,policia,1981-05-11,rtve_1781,Nota: Partido Comunista de España PCE. Intento de la extrema derecha de implicar a la monarquía en el 23-F (11 de mayo de 1981).,https://www.rtve.es/contenidos/documentos/23f-desclasificado/20_1981_nota_partido_comunista_de_espana_pce_intento_de_la_extrema_derecha_de_implicar_a.pdf,20_1981_nota_partido_comunista_de_espana_pce_intento_de_la_extrema_derecha_de_implicar_a.pdf,1981-05-11,1.0,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0019,Nota: Bloqueada una cuenta de la asociación de mujeres de militares y policías. Esta asociación ha recibido cuantiosos donativos para las familias de los implicados en el 23-F (27 de marzo de 1981).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/policia/27-03-81_NOTA_INFORMATIVA_SOBRE_BLOQUEO_DE_CUENTA_DE_ASOC_DE_MUJERES_DE_MILITARES.pdf,27-03-81_NOTA_INFORMATIVA_SOBRE_BLOQUEO_DE_CUENTA_DE_ASOC_DE_MUJERES_DE_MILITARES.pdf,interior,policia,1981-03-27,rtve_1780,Nota: Bloqueada una cuenta de la asociación de mujeres de militares y policías. Esta asociación ha recibido cuantiosos donativos para las familias de los implicados en el 23-F (27 de marzo de 1981).,https://www.rtve.es/contenidos/documentos/23f-desclasificado/19_1981_nota_bloqueada_una_cuenta_de_la_asociacion_de_mujeres_de_militares_y_policias_es.pdf,19_1981_nota_bloqueada_una_cuenta_de_la_asociacion_de_mujeres_de_militares_y_policias_es.pdf,1981-03-27,1.0,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0094,Información integrada (11 de marzo de 1982).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_65_R.pdf,Documento_65_R.pdf,defensa,cni,1982-03-11,rtve_1855,Información integrada (11 de marzo de 1982).,https://www.rtve.es/contenidos/documentos/23f-desclasificado/94_1982_informacion_integrada_11_de_marzo_de_1982.pdf,94_1982_informacion_integrada_11_de_marzo_de_1982.pdf,1982-03-11,1.0,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0059,Información integrada (17 de mayo de 1982).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_30_R.pdf,Documento_30_R.pdf,defensa,cni,1982-05-17,rtve_1820,Información integrada (17 de mayo de 1982).,https://www.rtve.es/contenidos/documentos/23f-desclasificado/59_1982_informacion_integrada_17_de_mayo_de_1982.pdf,59_1982_informacion_integrada_17_de_mayo_de_1982.pdf,1982-05-17,1.0,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
