class,rank,term,coefficient
defensa,1,sr,0.542320662056317
defensa,2,general,0.44576596409917374
defensa,3,justicia,0.39760367131091867
defensa,4,capitan,0.37273377715899886
defensa,5,de justicia,0.3696032216801908
defensa,6,causa,0.3467396321318743
defensa,7,defensa,0.33931610898535947
defensa,8,procesados,0.3222212934601995
defensa,9,cesid,0.321389949484532
defensa,10,ref,0.3160940001721233
defensa,11,tcol,0.30579086235000175
defensa,12,82,0.297964018074476
defensa,13,de defensa,0.2898878245336165
defensa,14,la causa,0.2880549466949081
defensa,15,al,0.2855726735687935
exteriores,1,the,0.87038118335342
exteriores,2,mr,0.7747504511366814
exteriores,3,han de,0.6025144230437568
exteriores,4,espana,0.5766274958808284
exteriores,5,de asuntos,0.5556403019612699
exteriores,6,exteriores,0.5495976450636246
exteriores,7,asuntos exteriores,0.5457761185844845
exteriores,8,asuntos,0.5374157025959333
exteriores,9,que que,0.5342438329614798
exteriores,10,ver se,0.5157341081315213
exteriores,11,embajador,0.4812511950038417
exteriores,12,de espana,0.47408046173474083
exteriores,13,of,0.4413030646919814
exteriores,14,1981,0.4322324207372027
exteriores,15,de ver,0.42278169173660146
interior,1,golpe,0.6156098367489145
interior,2,efe,0.524480376972215
interior,3,inf,0.4800014420800998
interior,4,__________,0.4721766086942911
interior,5,si,0.4672367562184753
interior,6,un,0.452058882364972
interior,7,madrid,0.43985461451451446
interior,8,se paso,0.4287704449261358
interior,9,redacted,0.41388141604300455
interior,10,39 497,0.4133040388332195
interior,11,497,0.4133040388332195
interior,12,se,0.41177015363773334
interior,13,yo,0.41041753958160737
interior,14,implicados,0.38754842826953917
interior,15,comandancia,0.3856341704317605
