source,target,weight
Congreso,Guardia Civil,39
Congreso,España,31
Congreso,General Armada,29
CESID,Congreso,26
España,Madrid,26
España,Guardia Civil,26
Armada,Congreso,25
Constitución,Guardia Civil,24
Congreso,Constitución,24
Guardia Civil,Madrid,23
General Armada,Guardia Civil,22
Constitución,España,22
Guardia Civil,Valencia,21
Congreso,Madrid,21
Armada,Guardia Civil,21
Congreso,Valencia,21
CESID,Guardia Civil,19
Armada,General Armada,19
España,General Armada,19
Constitución,Valencia,17
Armada,España,17
Constitución,Madrid,17
España,Valencia,16
Congreso,Gobierno,16
España,Gobierno,16
Congreso,López Montero,16
Congreso,Zarzuela,14
CESID,España,14
General Armada,Valencia,14
Congreso,Coronel Manchado,14
Armada,Valencia,14
Armada,Constitución,14
Gobierno,Guardia Civil,14
Guardia Civil,López Montero,13
Armada,Madrid,13
CESID,General Armada,13
Constitución,General Armada,13
Capitán Gómez Iglesias,Congreso,13
Comandante Pardo,Congreso,13
Congreso,General Juste,13
Congreso,JUJEM,13
Constitución,Gobierno,12
General Juste,Guardia Civil,12
Armada,General Juste,12
General Armada,General Juste,12
Comandante Pardo,Guardia Civil,12
Congreso,General Aramburu,12
Armada,CESID,12
Coronel Manchado,Guardia Civil,12
CESID,Madrid,12
Código de Justicia Militar,Madrid,12
Guardia Civil,JUJEM,12
CESID,Constitución,12
Coronel Manchado,General Armada,11
Congreso,El Presidente,11
Guardia Civil,Guardias Civiles,11
CESID,Capitán Gómez Iglesias,11
General Armada,López Montero,11
España,Estado,11
Congreso,Gómez Iglesias,11
Madrid,Valencia,11
Gobierno,Madrid,11
Capitán Abad,Congreso,11
Comandante Pardo,General Armada,11
Armada,López Montero,11
Capitán Abad,Guardia Civil,11
Congreso,Guardias Civiles,11
Armada,Zarzuela,11
Congreso,Después,11
Congreso,Su Majestad,11
Congreso,Torres Rojas,11
Congreso,Teniente,11
Guardia Civil,Zarzuela,11
Guardia Civil,Gómez Iglesias,10
Congreso,Servicio,10
España,General Juste,10
Comandante Cortina,Congreso,10
JUJEM,Valencia,10
CESID,Coronel Manchado,10
Capitán Gómez Iglesias,Guardia Civil,10
CESID,Gómez Iglesias,10
General Armada,Zarzuela,10
Congreso,Cortina,10
Armada,Torres Rojas,10
CESID,Valencia,10
General Aramburu,Guardia Civil,10
España,Zarzuela,10
Congreso,Pardo,10
España,JUJEM,10
Guardia Civil,Pardo,10
Valencia,Zarzuela,10
Fuerzas Armadas,Madrid,10
General Armada,Madrid,10
Guardia Civil,Servicio,10
Después,Guardia Civil,10
Congreso,Juan Gris,9
Cortina,Guardia Civil,9
General Milans,Guardia Civil,9
General Armada,Torres Rojas,9
Madrid,Sala de Justicia,9
General Armada,General Milans,9
CESID,Comandante Cortina,9
GUARDIA,Madrid,9
Guardia Civil,Torres Rojas,9
Armada,Comandante Pardo,9
General Armada,Pardo,9
Constitución,Zarzuela,9
General Armada,Gobierno,9
Congreso,Coronel San Martín,9
Comandante Cortina,Guardia Civil,9
Congreso,S.M. el Rey,9
CESID,López Montero,9
General Aramburu,General Armada,9
Gobierno,JUJEM,9
Congreso,Pardo Zancada,9
Madrid,SEÑOR,9
Guardia Civil,Teniente,9
Consejo Supremo de Justicia Militar,Madrid,9
Congreso,llegó,9
Gobierno,López Montero,9
España,General Aramburu,9
España,Torres Rojas,8
España,Su Majestad,8
CESID,Su Majestad,8
Congreso,General Milans,8
Armada,General Aramburu,8
División,España,8
Congreso,General Milans del Bosch,8
Capitán Batista,Congreso,8
Coronel Ibañez,Valencia,8
Coronel San Martín,Guardia Civil,8
Constitución,Fuerzas Armadas,8
CESID,Gobierno,8
Constitución,Coronel Manchado,8
Constitución,División,8
Congreso,Coronel Ibañez,8
Comandante Pardo,España,8
Congreso,Consejo,8
Coronel Ibañez,Guardia Civil,8
Estado,Madrid,8
Estado Mayor,Guardia Civil,8
Madrid,Zarzuela,8
Congreso,Consejeros,8
General Milans del Bosch,Guardia Civil,8
Consejo Reunido,Madrid,8
Capitán Batista,Guardia Civil,8
Guardia Civil,Su Majestad,8
General Armada,Guardias Civiles,8
CESID,Zarzuela,8
Comandante,Guardia Civil,8
Armada,Gómez Iglesias,8
Comandante,Congreso,8
Comandante Pardo,General Juste,8
Capitán Gómez Iglesias,Gómez Iglesias,8
Armada,Capitán Gómez Iglesias,8
Armada,Coronel Manchado,8
Gobierno,Valencia,8
España,López Montero,8
Armada,Pardo,8
Capitán Gómez Iglesias,Comandante Cortina,8
Constitución,JUJEM,8
CESID,Cortina,8
España,Fuerzas Armadas,8
Guardias Civiles,Madrid,8
General Armada,Su Majestad,8
Congreso de los Diputados,Madrid,8
Coronel Ibáñez,General Armada,8
Congreso,Gral,8
Capitán Gómez Iglesias,General Armada,8
Congreso,Estado Mayor,8
Armada,Gobierno,8
Constitución,Estado,8
Capitán Abad,General Armada,8
López Montero,Valencia,8
General Armada,Gómez Iglesias,8
Capitán Abad,Coronel Manchado,8
Guardia Civil,Región,8
Congreso,Consejo Supremo de Justicia Militar,8
CESID,Niega,7
Constitución,Teniente,7
Madrid,Teniente,7
Comte,Congreso,7
Congreso,Operación,7
Congreso,Niega,7
Guardia Civil,llegó,7
Consejo Reunido,Código de Justicia Militar,7
Gobierno,Zarzuela,7
Constitución,López Montero,7
Coronel Ibañez,López Montero,7
Autoridad Militar,Congreso,7
Pardo,Valencia,7
Capitán Gómez Iglesias,España,7
Guardia Civil,Policía Nacional,7
Congreso,Presidente del Tribunal,7
CESID,General Aramburu,7
Coronel Manchado,España,7
Coronel Manchado,Pardo,7
Congreso,Milans,7
Congreso,Quintana,7
CESID,Pardo,7
JUJEM,Madrid,7
General Milans,Valencia,7
Coronel Manchado,Guardias Civiles,7
Armada,JUJEM,7
Estado Mayor,Valencia,7
Guardia Civil,Presidente del Tribunal,7
Congreso,calle General Cabrera,7
Consejo Reunido,Sala de Justicia,7
Cortina,España,7
Madrid,Providencia,7
Constitución,Torres Rojas,7
General Aramburu,General Juste,7
El Presidente,Guardia Civil,7
Madrid,Real Decreto,7
Congreso,División,7
General Juste,López Montero,7
Armada,Cortina,7
Ejército,Guardia Civil,7
Madrid,S.M. el Rey,7
Madrid,Su Majestad,7
Cortina,Pardo,7
El Presidente,López Montero,7
Congreso,Coronel Ibáñez,7
Capitanía,Congreso,7
Constitución,Región,7
Armada,Coronel San Martín,7
Congreso,Ministerio Fiscal,7
ARMADA,Constitución,7
Coronel San Martín,General Armada,7
ARMADA,Congreso,7
Constitución,Guardias Civiles,7
España,Pardo Zancada,7
General Juste,Valencia,7
Comandante Cortina,General Armada,7
General Armada,General Milans del Bosch,7
España,Gómez Iglesias,7
División,Guardia Civil,7
Consejeros,Guardia Civil,7
Armada,Coronel Ibañez,7
Coronel Manchado,General Aramburu,7
Comandante Pardo,Constitución,7
Comandante Pardo,General Aramburu,7
Guardia Civil,S.M. el Rey,7
Consejo Reunido,Providencia,7
Capitán Gómez Iglesias,Coronel Manchado,7
Guardia Civil,Juan Gris,7
Torres Rojas,Valencia,7
SEÑOR,Sala de Justicia,6
El Presidente,General Armada,6
ARMADA,Zarzuela,6
Consejo Supremo el Consejero Togado Juez Especial,Madrid,6
CESID,Enero,6
Congreso,Declaración,6
CONSEJO SUPREMO,Sala de Justicia,6
Comandante,España,6
López Montero,Madrid,6
Código de Justicia Militar,Sala de Justicia,6
General Armada,llegó,6
ARMADA,Guardia Civil,6
Congreso,Jefes,6
España,S.M. el Rey,6
Región,Valencia,6
Congreso,Fuerzas Armadas,6
Comandante Cortina,Gómez Iglesias,6
Coronel Manchado,Madrid,6
España,llegó,6
Consejo Reunido,SEÑOR,6
General Armada,JUJEM,6
España,Policía Nacional,6
MICROFILMACION,Madrid,6
Madrid,Monarquía,6
S.M. el Rey,Valencia,6
Su Majestad,Valencia,6
Bando,Congreso,6
Congreso,General ARMADA,6
España,General ARMADA,6
Código de Justicia Militar,SEÑOR,6
Guardia Civil,de Valencia,6
CESID,JUJEM,6
Providencia,SEÑOR,6
Código de Justicia Militar,Providencia,6
Providencia,Sala de Justicia,6
Consejo Supremo de Justicia Militar,Guardia Civil,6
Madrid,Marzo,6
Constitución,Después,6
Dirección General de la Guardia Civil,Madrid,6
