entity,label,n_documentos,degree_centrality,weighted_degree
Congreso,ORG,59,0.7540229885057471,1586
Guardia Civil,ORG,52,0.7885057471264367,1451
España,PER,58,0.696551724137931,1165
Madrid,LOC,82,0.6712643678160919,1043
General Armada,PER,34,0.5333333333333333,925
Constitución,LOC,34,0.6,922
Armada,ORG,30,0.48735632183908045,847
CESID,ORG,32,0.4850574712643678,762
Valencia,LOC,25,0.45057471264367815,722
Gobierno,LOC,27,0.3793103448275862,537
Zarzuela,LOC,15,0.3310344827586207,475
López Montero,PER,16,0.3057471264367816,439
General Juste,PER,14,0.29885057471264365,418
Coronel Manchado,PER,14,0.2896551724137931,396
Comandante Pardo,LOC,13,0.2735632183908046,389
JUJEM,ORG,16,0.2827586206896552,388
General Aramburu,PER,12,0.27816091954022987,350
Capitán Gómez Iglesias,PER,14,0.22298850574712642,320
Torres Rojas,PER,12,0.24137931034482757,320
Pardo,LOC,11,0.24137931034482757,315
Guardias Civiles,ORG,14,0.24367816091954023,308
Gómez Iglesias,PER,12,0.2206896551724138,305
Capitán Abad,LOC,11,0.21149425287356322,271
Teniente,LOC,13,0.2160919540229885,265
Cortina,LOC,13,0.19310344827586207,258
Coronel Ibañez,PER,9,0.18620689655172412,251
Su Majestad,LOC,15,0.19080459770114944,244
Servicio,LOC,12,0.2,242
Coronel San Martín,PER,10,0.17471264367816092,223
Consejo Supremo de Justicia Militar,ORG,15,0.19310344827586207,220
Después,PER,14,0.17471264367816092,215
El Presidente,PER,11,0.1632183908045977,213
Fuerzas Armadas,ORG,15,0.1839080459770115,213
General Milans del Bosch,LOC,10,0.1839080459770115,210
División,ORG,9,0.17011494252873563,200
General Milans,PER,9,0.14942528735632182,199
Comandante Cortina,LOC,10,0.14482758620689656,199
llegó,PER,9,0.1632183908045977,198
Presidente del Tribunal,ORG,8,0.1632183908045977,195
Región,LOC,11,0.15172413793103448,188
Estado,LOC,13,0.16551724137931034,185
ARMADA,ORG,9,0.13793103448275862,172
Gral,PER,9,0.15172413793103448,172
Capitán Batista,LOC,8,0.14022988505747125,168
Al Sr. Hermosilla,PER,6,0.1471264367816092,167
Estado Mayor,LOC,10,0.12873563218390804,163
S.M. el Rey,PER,11,0.12643678160919541,162
Comandante,PER,10,0.14022988505747125,160
Juan Gris,PER,9,0.12643678160919541,155
calle General Cabrera,LOC,7,0.12873563218390804,154
Ejército,PER,9,0.13793103448275862,150
Consejo,ORG,12,0.12413793103448276,149
Quintana,LOC,7,0.135632183908046,148
Milans,PER,8,0.12873563218390804,146
Bando,PER,6,0.13333333333333333,145
Operación,LOC,7,0.13103448275862067,142
Ministerio Fiscal,LOC,9,0.11954022988505747,136
Cuartel General,ORG,7,0.12183908045977011,136
Enero,LOC,8,0.11954022988505747,136
Comte,PER,7,0.12183908045977011,135
Capitanía,PER,7,0.11954022988505747,135
General ARMADA,ORG,7,0.11494252873563218,135
Congreso de los Diputados,ORG,8,0.11264367816091954,130
de Valencia,LOC,7,0.1103448275862069,127
Ante,PER,8,0.11494252873563218,126
Jefes,PER,9,0.1103448275862069,124
Policía Nacional,LOC,7,0.10344827586206896,122
Gabeiras,PER,5,0.1103448275862069,121
Allí,LOC,6,0.10344827586206896,119
Pardo Zancada,PER,9,0.10114942528735632,118
Código de Justicia Militar,LOC,16,0.07816091954022988,113
POLICIA,ORG,5,0.09425287356321839,110
Miguel,PER,6,0.09425287356321839,109
Reina,PER,5,0.09425287356321839,109
Gral. Armada,PER,6,0.09885057471264368,107
Coronel Ibáñez,PER,8,0.08505747126436781,106
Oficiales,LOC,6,0.09885057471264368,106
Muñoz Perea,PER,5,0.09425287356321839,106
Hermosilla,PER,6,0.09655172413793103,105
Consejeros,LOC,9,0.08275862068965517,105
Sala de Justicia,LOC,15,0.06666666666666667,103
General Torres Rojas,PER,4,0.09885057471264368,101
Región Militar,ORG,7,0.08735632183908046,101
Sanz Arribas,PER,4,0.09425287356321839,101
PAMPLONA,ORG,4,0.08735632183908046,99
Sr. Hermosilla,PER,6,0.0896551724137931,99
Mando,ORG,9,0.09195402298850575,99
SEGURIDAD,ORG,4,0.08735632183908046,99
Teniente General Milans,ORG,5,0.08505747126436781,98
Autoridad Militar,ORG,7,0.08735632183908046,98
Lérida,PER,5,0.08505747126436781,95
Santamaría,PER,6,0.09195402298850575,95
Dirección General de la Guardia Civil,ORG,6,0.09425287356321839,94
Comenzó,LOC,4,0.08735632183908046,93
Diputados,ORG,5,0.08505747126436781,90
Palacio de la Zarzuela,LOC,5,0.09195402298850575,89
Coronel Alcalá Galiano,PER,4,0.0896551724137931,88
Facultad de Derecho,LOC,3,0.08045977011494253,87
General Gabeiras,PER,4,0.08505747126436781,87
JEFATURA SUPERIOR,LOC,3,0.08045977011494253,87
GUARDIA,ORG,11,0.0735632183908046,87
OCUPACION,ORG,3,0.08045977011494253,87
Fuerza Pública,ORG,3,0.08045977011494253,87
TORNO AL DESARROLLO,ORG,6,0.07816091954022988,87
SITUACION ACTUAL,ORG,3,0.08045977011494253,87
ACCIONES,ORG,3,0.08045977011494253,87
OVIEDO,ORG,3,0.08045977011494253,87
Universidad,ORG,3,0.08045977011494253,87
Palacio del Congreso de los Diputados,LOC,3,0.08045977011494253,87
PROTESTA PREVISTAS,ORG,3,0.08045977011494253,87
POLICIALES,ORG,3,0.08045977011494253,87
Villalonga,LOC,5,0.07816091954022988,86
Abad,LOC,5,0.07816091954022988,85
Galaxia,LOC,4,0.08045977011494253,85
Policía Militar,PER,5,0.07586206896551724,85
Niega,PER,7,0.0735632183908046,83
Teniente General,PER,5,0.07816091954022988,83
Regiones Militares,PER,4,0.08275862068965517,81
SITUACION,ORG,5,0.08045977011494253,81
General Caruana,PER,4,0.0735632183908046,81
Guardias,ORG,6,0.07586206896551724,81
Declaración,PER,6,0.07586206896551724,81
SEÑOR,ORG,10,0.04597701149425287,79
Además,PER,6,0.06896551724137931,78
Teniente General Gutiérrez Mellado,LOC,4,0.08045977011494253,78
El General,LOC,6,0.0735632183908046,77
Sr. De Miguel,PER,4,0.06896551724137931,76
Tejero,LOC,4,0.0735632183908046,76
Presidente del Gobierno,PER,5,0.07126436781609195,76
Continúa,PER,6,0.06436781609195402,76
Ayudante,PER,5,0.07126436781609195,75
General Prieto,PER,4,0.06666666666666667,74
Al Sr. Villalonga,PER,3,0.0735632183908046,74
Recibió,PER,4,0.07126436781609195,74
Capitán Acera,LOC,5,0.06666666666666667,73
rebelión,PER,5,0.06436781609195402,73
VALENCIA,LOC,4,0.07816091954022988,73
OIDREP,ORG,5,0.07586206896551724,72
División Azul,LOC,4,0.06896551724137931,72
Sevilla,LOC,7,0.06896551724137931,71
García Carrés,PER,4,0.06436781609195402,71
Parlamento,LOC,11,0.05747126436781609,71
Escandell,LOC,4,0.06666666666666667,69
Patria,ORG,6,0.06896551724137931,69
DEMOCRACIA,ORG,3,0.07586206896551724,69
Alcalá,LOC,4,0.06666666666666667,68
SEVILLA,ORG,3,0.07126436781609195,67
Movimiento Comunista,ORG,3,0.07126436781609195,67
Consejo Reunido,ORG,8,0.029885057471264367,66
Nación,ORG,4,0.06896551724137931,66
Málaga,PER,4,0.07126436781609195,65
Oficial,LOC,5,0.06666666666666667,65
Sanz Esteban,PER,4,0.06206896551724138,65
Capitanías,LOC,5,0.06206896551724138,65
Sr. García Carrés,PER,4,0.059770114942528735,65
Palace,LOC,3,0.06896551724137931,65
Al Sr. Quintana,PER,3,0.06666666666666667,64
Muñecas,LOC,4,0.06436781609195402,62
Capitán Muñecas,LOC,4,0.059770114942528735,62
Providencia,LOC,8,0.029885057471264367,62
Ignora,PER,3,0.06436781609195402,62
la Ley,LOC,6,0.06206896551724138,61
Batista,PER,4,0.06436781609195402,61
EJERCITO,ORG,7,0.05517241379310345,61
2.6.- Interrogatorio,PER,3,0.06436781609195402,61
El Teniente Coronel Tejero,LOC,4,0.059770114942528735,60
ningún,PER,5,0.052873563218390804,60
Conversaciones,PER,4,0.059770114942528735,60
General Miláns,PER,4,0.05747126436781609,59
Asamblea,ORG,3,0.06436781609195402,59
parecía,PER,3,0.05747126436781609,59
Ordenanzas,PER,5,0.05747126436781609,59
Sectores,LOC,3,0.06436781609195402,58
Coronel Sanmartín,LOC,3,0.06206896551724138,58
PREJUJEM,ORG,4,0.059770114942528735,58
General Gutiérrez Mellado,PER,5,0.052873563218390804,57
Real Decreto,PER,7,0.029885057471264367,57
HENARES,ORG,3,0.06436781609195402,57
Capitán García Almenta,LOC,4,0.05057471264367816,57
Consejo Supremo el Consejero Togado Juez Especial,ORG,6,0.029885057471264367,56
Capitán Dusmet,LOC,4,0.052873563218390804,56
Asegura,LOC,4,0.05517241379310345,56
Plaza de Neptuno,LOC,4,0.059770114942528735,56
