section,rank,term,frequency
defensa,1,que,4421
defensa,2,general,1275
defensa,3,coronel,517
defensa,4,armada,508
defensa,5,teniente,502
defensa,6,capitán,502
defensa,7,congreso,450
defensa,8,tejero,387
defensa,9,civil,387
defensa,10,militar,345
defensa,11,guardia,340
defensa,12,tcol,310
defensa,13,gral,266
defensa,14,defensor,263
defensa,15,día,257
defensa,16,presidente,255
defensa,17,cap,253
defensa,18,defensa,248
defensa,19,hechos,247
defensa,20,comandante,245
exteriores,1,the,203
exteriores,2,que,178
exteriores,3,and,81
exteriores,4,españa,61
exteriores,5,spain,44
exteriores,6,ver,39
exteriores,7,asuntos,36
exteriores,8,that,36
exteriores,9,exteriores,35
exteriores,10,madrid,33
exteriores,11,spanish,30
exteriores,12,marzo,29
exteriores,13,ministro,28
exteriores,14,presidente,28
exteriores,15,democracy,27
exteriores,16,john,23
exteriores,17,febrero,22
exteriores,18,juan,22
exteriores,19,carlos,22
exteriores,20,general,21
interior,1,que,6570
interior,2,general,595
interior,3,bueno,578
interior,4,pues,507
interior,5,civil,444
interior,6,dicho,398
interior,7,ver,366
interior,8,guardia,361
interior,9,estado,355
interior,10,coronel,355
interior,11,ahora,338
interior,12,tejero,312
interior,13,militar,309
interior,14,madrid,306
interior,15,aquí,292
interior,16,bien,273
interior,17,voy,264
interior,18,antonio,259
interior,19,congreso,248
interior,20,teniente,240
