section,term,absolute_frequency,total_section_tokens,frequency_per_10000_tokens
defensa,general,1275,70151,181.75079471425923
defensa,coronel,517,70151,73.69816538609571
defensa,armada,508,70151,72.4152185998774
defensa,teniente,502,70151,71.55992074239853
defensa,capitán,502,70151,71.55992074239853
defensa,congreso,450,70151,64.14733931091503
defensa,tejero,387,70151,55.166711807386925
defensa,civil,387,70151,55.166711807386925
defensa,militar,345,70151,49.17962680503486
defensa,guardia,340,70151,48.46687859046913
defensa,tcol,310,70151,44.190389303074795
defensa,gral,266,70151,37.91820501489644
defensa,defensor,263,70151,37.490556086157
defensa,día,257,70151,36.63525822867814
defensa,presidente,255,70151,36.35015894285185
defensa,cap,253,70151,36.06505965702556
defensa,defensa,248,70151,35.352311442459836
defensa,hechos,247,70151,35.20976179954669
defensa,comandante,245,70151,34.924662513720406
defensa,fiscal,242,70151,34.49701358498097
defensa,declaración,238,70151,33.926815013328394
defensa,orden,238,70151,33.926815013328394
defensa,rey,230,70151,32.786417870023236
defensa,horas,222,70151,31.64602072671808
defensa,órdenes,209,70151,29.7928753688472
defensa,jefe,201,70151,28.652478225542044
defensa,pardo,186,70151,26.514233581844877
defensa,milans,186,70151,26.514233581844877
defensa,defensores,184,70151,26.22913429601859
defensa,estado,177,70151,25.231286795626577
exteriores,españa,61,5257,116.03576184135439
exteriores,spain,44,5257,83.69792657409168
exteriores,asuntos,36,5257,68.48012174243866
exteriores,exteriores,35,5257,66.57789613848202
exteriores,madrid,33,5257,62.773444930568765
exteriores,spanish,30,5257,57.06676811869888
exteriores,marzo,29,5257,55.164542514742244
exteriores,ministro,28,5257,53.26231691078562
exteriores,presidente,28,5257,53.26231691078562
exteriores,democracy,27,5257,51.36009130682899
exteriores,john,23,5257,43.75118889100247
exteriores,febrero,22,5257,41.84896328704584
exteriores,juan,22,5257,41.84896328704584
exteriores,carlos,22,5257,41.84896328704584
exteriores,general,21,5257,39.94673768308922
exteriores,embajador,21,5257,39.94673768308922
exteriores,rey,21,5257,39.94673768308922
exteriores,español,20,5257,38.04451207913259
exteriores,haig,20,5257,38.04451207913259
exteriores,señor,19,5257,36.14228647517596
exteriores,democratic,18,5257,34.24006087121933
exteriores,embajada,17,5257,32.3378352672627
exteriores,excmo,17,5257,32.3378352672627
exteriores,estado,17,5257,32.3378352672627
exteriores,democracia,16,5257,30.43560966330607
exteriores,estados,16,5257,30.43560966330607
exteriores,unidos,16,5257,30.43560966330607
exteriores,mensaje,15,5257,28.53338405934944
exteriores,majestad,14,5257,26.63115845539281
exteriores,pueblo,14,5257,26.63115845539281
interior,general,595,75072,79.2572463768116
interior,civil,444,75072,59.14322250639386
interior,guardia,361,75072,48.08716965046888
interior,estado,355,75072,47.287936913896
interior,coronel,355,75072,47.287936913896
interior,tejero,312,75072,41.56010230179029
interior,militar,309,75072,41.160485933503836
interior,madrid,306,75072,40.76086956521739
interior,antonio,259,75072,34.500213128729754
interior,congreso,248,75072,33.03495311167946
interior,teniente,240,75072,31.9693094629156
interior,hablar,237,75072,31.56969309462916
interior,efe,237,75072,31.56969309462916
interior,estaba,229,75072,30.504049445865302
interior,xerocopia,225,75072,29.971227621483376
interior,llamada,214,75072,28.505967604433078
interior,carmen,214,75072,28.505967604433078
interior,momento,213,75072,28.372762148337593
interior,rey,210,75072,27.97314578005115
interior,tiene,206,75072,27.440323955669225
interior,gobierno,205,75072,27.307118499573743
interior,allí,204,75072,27.17391304347826
interior,pasó,197,75072,26.24147485080989
interior,jefe,196,75072,26.10826939471441
interior,horas,186,75072,24.776214833759592
interior,oye,182,75072,24.243393009377662
interior,visto,181,75072,24.110187553282184
interior,españa,180,75072,23.976982097186703
interior,luego,180,75072,23.976982097186703
interior,mismo,178,75072,23.710571184995736
