term,mean_tfidf
general,0.07856096930317415
coronel,0.043729700476006675
teniente,0.03835771896001696
armada,0.03679222541842366
militar,0.03567675515259174
capitán,0.034931583944397666
tejero,0.03196142224208014
congreso,0.0313875387913837
civil,0.030717314342044322
presidente,0.027452463159210273
guardia,0.027313676148593542
madrid,0.02715753323480407
tcol,0.027088192216199024
rey,0.026288187634387956
guardia civil,0.026170232171051
gral,0.025260981758414867
excmo,0.024978097482476022
defensa,0.02489385498972241
general armada,0.02434156180691661
españa,0.024140318099156524
fiscal,0.023748176003753788
img jpeg,0.02294622994800175
jpeg,0.02294622994800175
img,0.02294622994800175
justicia,0.022454163089056782
día,0.02234893222540562
consejo,0.02201800644753627
jefe,0.02179732877437456
estado,0.02148925097186868
defensor,0.021288677614634564
teniente coronel,0.021086785398689356
señor,0.02039215224948221
comandante,0.02018942095383349
horas,0.020068601431923704
hechos,0.019863901647565494
procesados,0.019630981656554882
gobierno,0.01920505915310637
tcol tejero,0.018909523021572065
golpe,0.018837948213543645
declaración,0.018531987607521935
ministro,0.018492045851152016
milans,0.01844640937268001
militares,0.01827771844528997
teniente general,0.01807788460661524
orden,0.01796826599613695
núm,0.017402359737056224
spain,0.017298512748570485
don,0.017248282117839877
defensores,0.01683924741335561
situación,0.016781830081138146
órdenes,0.016764027611327743
excmo señor,0.016700965580611484
febrero,0.01662498815417078
declaraciones,0.016166376778951757
supremo,0.016145804137294197
causa,0.016143901503857857
justicia militar,0.01586034900310334
sala,0.015671545390814935
vista,0.015669079493937126
marzo,0.01564466203385045
interrogatorio,0.015610057570767819
años,0.015443830051022941
momento,0.014693826875681541
fecha,0.014680801259982076
cesid,0.014245752380982628
consejo supremo,0.014092671220383584
cortina,0.01404968477086726
mismo,0.013800793057674501
pardo,0.013781601878393555
josé,0.013603277905158187
intervención,0.01354263186837129
ref,0.013338636281562554
jpeg img,0.013334989393447043
fuerzas,0.013258703193218717
general milans,0.013188783790284186
dos,0.01302893355671017
coronel tejero,0.012969229792475754
mando,0.012936216489738606
ministerio,0.012849432155014478
sesión,0.012716855570048173
bosch,0.012677369277706367
exteriores,0.012646305609733193
cap,0.01259921593955528
fas,0.01252118924552777
escrito,0.012484106297042155
hecho,0.012455267475807314
letrado,0.012411355685429348
ello,0.012281294032135513
prensa,0.012256468655809951
conocimiento,0.012226975229251971
ejército,0.0121396304740323
relación,0.012048044883865534
asuntos,0.011996426783651423
especial,0.01195090288649916
grupo,0.011884241961947897
supremo justicia,0.011873919376923198
operación,0.01178595339214728
juan,0.011660104757786277
dios,0.011619934874160475
tte,0.011599310541858568
ministro defensa,0.011568119907345086
aunque,0.011543399775133236
desarrollo,0.011526417448794669
asuntos exteriores,0.011496396910317588
mayor,0.011364438555294702
spanish,0.011288288844267708
tribunal,0.01120071412070098
generales,0.01119110101414261
dios guarde,0.011177369927544624
guarde,0.011177369927544624
hoy,0.011129014529111947
togado,0.011099702471576054
partido,0.011048590272809966
mensaje,0.011039911254493317
dac,0.011011906535670036
cte,0.011007462252567135
haber,0.010890758176535582
director,0.010889213097125544
servicio,0.010864115667548798
miembros,0.010850988217571259
estaba,0.010764467985532643
