term,mean_tfidf
general,0.07940509902177925
coronel,0.04400538451284299
teniente,0.038858219381360644
armada,0.03686685923571987
militar,0.03635810702820401
capitán,0.03522916481634792
tejero,0.03212137198400743
congreso,0.03151459935538442
civil,0.030954388908384988
presidente,0.02775984893073676
madrid,0.02768745309551483
guardia,0.027499453871931753
tcol,0.027179515801175332
rey,0.026454637674786313
guardia civil,0.026355631207093524
defensa,0.025428584485554285
gral,0.025345634233870432
general armada,0.024353781659937655
españa,0.024278363983394263
fiscal,0.02378409253735725
justicia,0.023314692422776857
consejo,0.022837675353939494
día,0.022797610278495004
jefe,0.022204216175143128
estado,0.021696116059108213
señor,0.021363754271592886
defensor,0.021335816600108266
teniente coronel,0.021245443288278754
comandante,0.020349578453293986
horas,0.020211327600706607
hechos,0.020049495383854768
procesados,0.019645649804002
gobierno,0.019395030127099765
ministro,0.019135155990239676
golpe,0.01901871038013603
tcol tejero,0.018985907989145446
declaración,0.018610981876783613
milans,0.018541839831120347
teniente general,0.018524195579561635
militares,0.01835440286213328
orden,0.018205074729631836
núm,0.018055286036681863
don,0.01785549415358883
spain,0.017245253294423196
defensores,0.01686834924268175
situación,0.01686305508608121
febrero,0.01685515641829982
órdenes,0.01681256493172992
supremo,0.016726235905495424
causa,0.016469904179556946
justicia militar,0.016451654291494106
declaraciones,0.016214959546549623
sala,0.015981320440003003
marzo,0.015915522519129074
años,0.01580243201890301
vista,0.015692109977278896
interrogatorio,0.015613345623099392
fecha,0.015051019056031532
momento,0.01494010455027204
consejo supremo,0.014672614415908157
cesid,0.014356963322816189
cortina,0.014216239661888773
mismo,0.013983476254694493
pardo,0.013806262444155079
ref,0.013801915967635789
josé,0.013743909525170558
intervención,0.013552276728973332
fuerzas,0.01343913299362968
general milans,0.013201899198067971
dos,0.013143404467491156
ministerio,0.013108583985741759
coronel tejero,0.013031758789742722
exteriores,0.01294880117524933
mando,0.012942791651027578
bosch,0.012807294545236103
escrito,0.01277033224519636
sesión,0.012741374066943294
cap,0.0126163719511257
hecho,0.012509662159221797
fas,0.012469091222677057
letrado,0.012431312832651635
conocimiento,0.012408185045627077
especial,0.01240689640910847
ello,0.012299788498812612
asuntos,0.012296746658731083
prensa,0.012295504239685902
ejército,0.012263478526043576
supremo justicia,0.012231803273224198
relación,0.01221203425256299
ministro defensa,0.012196675467442323
dios,0.012118681446021778
grupo,0.011942903723602481
juan,0.01188543012193898
operación,0.011824758029408121
asuntos exteriores,0.011810092868486766
guarde,0.01171433764435701
dios guarde,0.01171433764435701
tte,0.011681284640569932
aunque,0.011586336549647724
togado,0.01156769844466772
desarrollo,0.011541748885042492
mayor,0.011532339570887814
mensaje,0.011350494839987521
hoy,0.011330775669318381
spanish,0.011309961512127513
tribunal,0.011213113986053862
generales,0.011212908576081154
haber,0.01114959429838033
guarde años,0.011142897768730727
partido,0.011126225450122675
director,0.011079325919163505
consejero,0.01107546644210645
cte,0.011030631035130486
dac,0.011023210773440352
miembros,0.010925061753227674
servicio,0.010918051670954599
ref núm,0.010887188261251174
estaba,0.01080375467985155
centro,0.010594692152735426
democracia,0.010519505876982338
radio,0.010515667325212264
acción,0.010476776285492508
información,0.010396347399175701
jose,0.010393420217938945
lectura,0.010363518384402075
junio,0.010352112472028911
artículo,0.010346347155199276
madrid marzo,0.010327062002045015
tiene,0.010281719824247101
preguntas,0.010250984692150224
nacional,0.01023492656348494
interior,0.010227818922697359
milans bosch,0.010180105246256328
posible,0.010178260583604078
majestad,0.010141729947497766
consejero togado,0.01013771069092889
procesado,0.010128912113455167
proceso,0.010092718319324071
español,0.009965991211292092
tengo,0.009931378224049357
días,0.009926598798523695
honor,0.0098857666995151
gómez,0.009849915184836452
años madrid,0.009840666908056935
comandante pardo,0.009781547708026146
embajador,0.009755563632736717
garcía,0.009718655304574858
pueblo,0.009666312627576843
pasado,0.009609544038474534
haig,0.009545626301364893
procesamiento,0.009545546344973845
iglesias,0.009514604286290768
apoyo,0.00939797548074791
diputados,0.009389286569104375
tarde,0.009389114454139643
carlos,0.009371140065822459
actitud,0.00936686967129517
san,0.009240460995403047
informativa,0.009171355791133725
poder,0.009151844449758287
juicio,0.009129871832017399
unidad,0.009058521173753343
juste,0.009014444168342708
hermosilla,0.009000330426013711
mayo,0.008962062956262451
después,0.008957405469713303
toda,0.00895531029462785
democracy,0.008870599702709907
personal,0.00885628038596936
manifiesto,0.008837743459593766
hora,0.00882243657572778
sala justicia,0.00881182422531619
jefes,0.00877738133131692
lugar,0.008775293021037108
mañana,0.008769214947532916
política,0.008679020885041704
gral armada,0.008661943336708064
exmo,0.00863290965675161
superior,0.008591729772752453
comentarios,0.008557826587832412
medios,0.008544068624443506
juan carlos,0.008531548880607932
personas,0.008513681810128335
periodistas,0.00846834777463985
washington,0.008455140088024825
ayer,0.008451617414830363
implicados,0.00841294528336025
oficiales,0.008393093116290943
lópez,0.008330246208669425
parece,0.008318011274677132
país,0.008306574658442301
sentencia,0.008296042179273854
abril,0.008235606902230925
minister,0.008194940728387206
citado,0.008176446846993602
primera,0.008140425131123523
grupos,0.008130896679240631
civiles,0.008111136731129147
juez,0.00810678211882829
dijo,0.008098002967573908
comisiones,0.008084586505623794
rojas,0.008052664708155589
dice,0.008051756924023582
miguel,0.008039880486977635
torres,0.008039098085690295
alvarez,0.008022458584015927
tiempo,0.00801476005324408
reunido sala,0.008001681024447475
menos,0.007991272436563644
antonio,0.007978765086290382
región,0.007950674373936048
martín,0.007949931759729667
pedro,0.00792483130306697
familiares,0.007915466447521391
acontecimientos,0.007914847966987775
sesion,0.007910939471000368
reunido,0.007904436275502134
efectos,0.00788852656525883
cuenta,0.007867469465084952
motivo,0.0078590089053819
señor ministro,0.007854710667585692
intento,0.007844263779078106
llamada,0.007822293865050263
torres rojas,0.007820074436738968
guardias,0.007746600398878195
jujem,0.007740199672683727
código,0.007730850931736738
tras,0.007721346417752574
actuación,0.007711173471198954
europa,0.0076729213039202545
secretario,0.0076630880394687375
valencia,0.007663035261951449
siguiente,0.007640767634510215
cabo,0.00761483155373059
miláns,0.007606521229702776
tengo honor,0.0076011597897959575
división,0.007599791758590129
desarrollo sesion,0.007580490989063791
comandante cortina,0.007578768399920713
recurso,0.007577786419922848
autoridad,0.00756890883584751
art,0.007544504876055502
instituciones,0.00753495832778395
código justicia,0.007529799271582597
gabinete,0.007524369502088043
democratic,0.007522411897692525
sino,0.007522232784430284
minutos,0.00751869865764253
real,0.0075094904615886655
incidente,0.007492406589125611
unidos,0.0074912315310725576
seguridad,0.007473120849060875
hizo,0.0074627534180612
estados unidos,0.0074504639383721006
golpe estado,0.007447512382112729
línea,0.007439292746383107
constitución,0.007399089135743352
estados,0.007397664956925067
testimonio,0.007382198610043567
allí,0.007378873054750632
libertad,0.007342361613276058
éste,0.0073235197505175246
prisión,0.0073197389450199955
general jefe,0.007318728684783045
casa,0.0073151608540067735
gran,0.007306375780914682
llorca,0.007296110259599161
juez especial,0.007287713357970235
calle,0.007256811242795807
persona,0.007251245665179642
pregunta,0.007251161978056335
general juste,0.00720188357794524
armadas,0.007196601938877423
coronel san,0.007189057077936947
prieto,0.007174682713801474
zona,0.007169247143463001
número,0.007157400471021765
testigo,0.0071445497631011275
mas,0.0071424864678470935
llegar,0.007138735367727149
estuvo,0.0071359705957280304
reunión,0.007112285111388777
ministro asuntos,0.0070898436975201425
actual,0.007086929573377493
resto,0.007086392635312992
interés,0.007059503050449007
remitir,0.0070537521457197175
aramburu,0.007043026273656293
director general,0.007033829903249179
público,0.00701858239312608
gabeiras,0.007017103324533608
reagan,0.007001907628811253
crisis,0.006995066122190506
mes,0.006985239367313437
infantería,0.006981370017376905
manchado,0.006972459294991447
despacho,0.00696253330349327
togado juez,0.006939003108624081
misma,0.006922900061115596
fuerzas armadas,0.0069184372620871674
manifiesta,0.006904187321308194
luis,0.006901758048511613
continuación,0.006901698103134091
alguna,0.006872785407380119
tuvo,0.0068707972899979194
comunicado,0.0068662922847911164
auto,0.006852578441694734
tres,0.006845912096189505
derecha,0.0068455087208638245
cada,0.006833937374583262
ninguna,0.006832031234856586
sentido,0.0068152445239795635
dia,0.006790885392404006
abogado,0.0067810651421723505
acciones,0.0067527947856160266
direccion,0.00672882949099439
gómez iglesias,0.006712276596267984
social,0.006712010970139379
pide,0.006705792273988608
sectores,0.0066924223920892065
mar,0.006685738579470483
pérez,0.006640575048532318
cualquier,0.006617609513816402
estado mayor,0.006609269218713773
española,0.006597766465740138
tenido,0.006597495430142266
consejo reunido,0.006593100926443735
entrada,0.006582870947251152
solución,0.006572937180270393
oral,0.006550960245438368
america,0.006550065515879747
atención,0.006540742168356654
hacia,0.0065353580377270565
sucesos,0.00653032368874817
brigada,0.006522926272906557
garcia,0.006513774721726002
montero,0.006488491253372926
políticos,0.006480419239526299
cuerpo,0.006461166282272759
siempre,0.006424156791826206
solicita,0.006338585204813549
vista oral,0.006321979987440632
dado,0.006318395396631666
agradezco,0.00631380087503593
sea,0.006307734347112157
absolución,0.006278822271690671
dirección,0.0062686082790512606
circunstancias,0.006263730242762715
nadie,0.006245648217480659
oficial,0.0062410011966614115
defendido,0.006226013994849308
servicios,0.006223754401232488
nueva,0.006215228025300233
ningún,0.0062065115034602705
embajador españa,0.006181901339143799
todas,0.006172916550178251
valiente,0.006170353424340877
february,0.006158149797675276
pena,0.006150048348139585
democráticas,0.006148801462006392
obediencia,0.0061397070007277905
prueba,0.006119634182479985
informacion,0.006072523930750117
unidades,0.0060718262806708076
support,0.006070178965544791
fuera,0.006067698452285261
producido,0.0060655429378969955
dentro,0.006032054057779057
enero,0.006027090139905598
sanchez,0.006025074294590693
sentencias,0.006019425990067992
último,0.005998774370337996
letrados,0.005994997781317252
die,0.005988773767877657
capitán general,0.005974035815280383
san martín,0.005962010862644743
microfilmacion,0.005954250688725048
constitucional,0.0059498301165579895
efecto,0.005945153297421896
presencia,0.005940154937304538
haya,0.0059383439648085
extrema,0.005936729489919318
madrid junio,0.005934332511824162
people,0.005933541299866868
clase,0.005919969967071631
tener,0.0058951036269040925
participación,0.005881756733210165
decir,0.005863349988137893
necesidad,0.005846189838911801
opinión,0.0058402651059169235
coronel manchado,0.0058267713430122554
dar,0.005817023662504921
tenientes,0.005814421689488498
general torres,0.005813730124995822
veces,0.005813649689005577
acuerdo,0.005812789131812948
ministerio asuntos,0.005801729821244588
king,0.005798984309800475
golpe militar,0.0057902483877702434
general presidente,0.005778611376795294
honor remitir,0.005768972366868103
etc,0.005765589162605589
relaciones,0.005762192051976177
posteriormente,0.005759012508639998
alta,0.0057501476698913305
incidentes,0.005741209679430412
autos,0.005733498204053657
auto procesamiento,0.005732132003580417
fernández,0.005724357373009923
tenía,0.005719536430955877
salida,0.005714162318593878
referencia,0.005709224698850988
núm fecha,0.005706171686383308
espanha,0.005688767664156321
general guardia,0.005688413040149525
destino,0.005677534158935444
falta,0.005666454595402091
términos,0.005657793940652215
embajada,0.0056483342190978714
delito,0.005645091179963539
resolución,0.005634115445724978
carta,0.005626080555465848
comportamiento,0.005623107220252204
siguientes,0.0055985047787849695
escandell,0.005577089640705661
cumplimiento,0.005568184918551126
nombre,0.005558442206500508
policía,0.0055512822263543505
incluso,0.005548706124753648
sigue,0.00554501177775647
junta,0.005534433001087365
ajema,0.0055273123624259846
ejercito,0.005517339704370902
anterior,0.005509420589686004
firme,0.005508843137076977
general división,0.005506039637517863
punto,0.005501001605496392
teléfono,0.005499885817585344
tema,0.005498752531706254
judicial,0.00549138528989222
defensor capitán,0.005478675024246957
designado,0.005477166955433303
asalto,0.005465487477756056
hubiera,0.005462713978402538
conforme,0.005445069003818823
partidos,0.005444922271929819
político,0.005443903184863964
pone,0.005440068076204824
capitán guardia,0.0054328367829826855
varios,0.005407962915880713
decreto,0.005404874356427251
turno,0.00538994748170906
congreso diputados,0.005389892077631083
extrema derecha,0.005383240672438104
correspondiente,0.005380953661199007
contesta,0.005370858618478384
plaza,0.005367639627881012
recibido,0.005365851318536504
states,0.005355026733177249
united states,0.005355026733177249
united,0.005355026733177249
hablar,0.005352057042362069
providencia,0.005341565030644259
sua,0.005336778069122556
señor teniente,0.005333588853985891
noche,0.0053258136850027945
decisión,0.005322265396367304
popular,0.0053216103345139956
contacto,0.005320641693203585
ley,0.005314659850083358
acto,0.005311651370622668
conoce,0.005309656792236701
grave,0.005308438526364147
dispuesto,0.005305666737957278
direccion general,0.00529510236805683
fecha ref,0.005272754280953589
luego,0.005266670212294211
ambiente,0.005262548439316182
nuevo,0.0052527115688911505
cuanto,0.005249786923384525
algún,0.005242003570195788
navío,0.005233333725434395
testigos,0.005231702246591181
través,0.005227866161791691
tipo,0.005219629991488881
llamado,0.005219627006833985
carácter,0.005219578058149026
juzgado,0.005210066222443724
propaganda,0.0052040407639007144
campaña,0.005198486885738477
palacio,0.0051796259463067415
afirma,0.005169648133891453
consecuencia,0.00516169088241352
municipal,0.005157665213407244
ibañez,0.005149273647776622
real decreto,0.0051482721997982515
días febrero,0.005135108242366389
torno,0.005134964096377834
medio,0.0051300621044020256
debida,0.005122371817672651
acordado,0.005112599286030716
parecer,0.0051109500031824235
creo,0.005109580977722869
secretary,0.005097792990879093
poner,0.005080233453465057
expresa,0.005065910319492556
seguidamente,0.005064205468097722
pérez llorca,0.005061581509210028
región militar,0.005056935003282128
abad,0.005056080639832937
ambos,0.005053692403898276
josé pedro,0.005050400657160086
pedro pérez,0.005050400657160086
ministerio defensa,0.00503916425677421
adjunto,0.005031610497206623
zarzuela,0.005026829868212866
base,0.005025143254291776
sección,0.005025039348794877
efe,0.005018440358369123
recibir,0.00500824224924637
cte pardo,0.0049970218641343525
lópez montero,0.004989007198241843
respuesta,0.004984485329856573
general aramburu,0.004977456044090384
informativa vista,0.004975683126783735
presente,0.004975568756809573
fin,0.004973581362208238
sería,0.00497121835718717
mismos,0.004962975742210286
seccion,0.004961637776756403
acaecidos,0.004959955158472584
central,0.004956698738819754
instructor,0.004951528717256252
institutions,0.004939891839033458
frente,0.004921676984375314
existencia,0.004909414726961303
pueda,0.004896540160782427
destinado,0.004896242840982193
tensiones,0.0048941920765607164
representantes,0.004887354865851953
actuaciones,0.004875717318557578
consideración,0.004869844001549362
corriente,0.004867957804426997
nunca,0.00485663673040089
primero,0.004838814177541955
día ayer,0.004837141299193423
petición,0.004836117824181113
rebelión,0.00483131269808877
calvo,0.004830754742885153
baja,0.004829038574491189
misión,0.004827641571781434
habló,0.004818835923920278
hombre,0.004814777499674658
cortes,0.004814441227525982
sistema,0.0048058037427674985
palace,0.004802019750821865
guardias civiles,0.004798659913522492
patrocinado,0.004789364906793877
sanchez valiente,0.004784017393651228
defensor teniente,0.004780082604873744
comunicación,0.004770744880172269
derecho,0.004770274687040112
contactos,0.004763930758792699
incidencias,0.004758901808871412
tve,0.0047585344761166565
normalidad,0.004756783753965954
noticia,0.004745080030618682
pública,0.004743405263334156
posibilidad,0.004740828998815247
monge,0.004730881016100335
voz,0.004720499702956832
cortina prieto,0.004714175222514239
calvo sotelo,0.0047094356585487985
sotelo,0.0047094356585487985
ocupación,0.004698610704911944
guerra,0.004697193633024899
eleva,0.004683429229260667
comandancia,0.004676189658842508
medidas,0.004676168185809266
assembleia,0.004672639469356584
jefatura,0.0046670185779129035
perez,0.004658356150183308
comisiones militares,0.004657923447690924
providencia día,0.004657224876525476
justicia providencia,0.004657224876525476
especial designado,0.004657224876525476
unas,0.00465468571658141
primer,0.004646663310383989
encuentra,0.004644168333332352
manuel,0.004630291311676111
debido,0.004624364044766629
presidente gobierno,0.00462065033955171
siendo,0.004614317551531606
mandos,0.004602137806331802
personales,0.004601907456893485
condiciones,0.00459930682840393
domicilio,0.004594984735221778
der,0.004588011900208954
puesto,0.004585106622653573
oct,0.004565693644705428
igualmente,0.004564514261523559
responsabilidad,0.004562053883670532
propio,0.004559296759460031
tejero molina,0.004559207414961633
demostrar,0.0045451415387685766
molina,0.0045403416505737405
cte cortina,0.004536310280605154
alonso,0.004532223590865398
hombres,0.0045321444993735634
reciba,0.0045319716365205594
conocía,0.0045256941954256525
general miláns,0.004520756433422763
capitanes,0.004517003792568913
prisión militar,0.004515685062135251
asimismo,0.0045093819548004625
existe,0.004505602930051839
alexander haig,0.004499110665280658
ocasión,0.004498919524316996
paisano,0.004498000462569679
martin,0.004496236048355427
teniente guardia,0.004488513339673213
alexander,0.0044855776978008025
intención,0.004484377892513611
com,0.004478251041684513
últimos,0.0044720802167847575
democráticos,0.004463413062135457
instrucciones,0.004459421252470864
sanz,0.00444859854473156
