section,rank,term,mean_tfidf
defensa,1,general,0.10540713883543504
defensa,2,coronel,0.05499895847657722
defensa,3,armada,0.05297505598964398
defensa,4,teniente,0.05256265088118865
defensa,5,capitán,0.051079999564476564
defensa,6,militar,0.04374762184235994
defensa,7,tejero,0.041093339527673446
defensa,8,tcol,0.039848751132350715
defensa,9,congreso,0.037663782848746774
defensa,10,civil,0.03627088137549858
defensa,11,general armada,0.035784088814416165
defensa,12,gral,0.03573471301632645
defensa,13,fiscal,0.03534818792677595
defensa,14,defensa,0.035133163506040885
defensa,15,justicia,0.03474324831140073
defensa,16,consejo,0.032977192781360326
defensa,17,guardia,0.032930128584740266
defensa,18,guardia civil,0.032812409811263425
defensa,19,defensor,0.03235846575583361
defensa,20,presidente,0.030731312538999907
exteriores,1,spain,0.09290184839253787
exteriores,2,españa,0.06889445264219413
exteriores,3,exteriores,0.06497427032949889
exteriores,4,asuntos exteriores,0.06138384512951041
exteriores,5,spanish,0.0609278571782353
exteriores,6,asuntos,0.059870262103921434
exteriores,7,haig,0.05119753850059896
exteriores,8,embajador,0.05034691306202216
exteriores,9,democracy,0.047786779043630795
exteriores,10,washington,0.04484530492976576
exteriores,11,minister,0.04414693876260205
exteriores,12,marzo,0.042941084648255454
exteriores,13,juan carlos,0.042870744406373826
exteriores,14,democratic,0.040523960868214574
exteriores,15,llorca,0.03823414512721978
exteriores,16,español,0.037903058461118286
exteriores,17,reagan,0.037719954000370294
exteriores,18,estados unidos,0.03756271855971247
exteriores,19,unidos,0.03756271855971247
exteriores,20,carlos,0.037314061701922835
interior,1,golpe,0.0635376895402535
interior,2,general,0.0511347535071532
interior,3,coronel,0.048922243875356576
interior,4,madrid,0.04758582967483035
interior,5,militar,0.04480324290161016
interior,6,estado,0.04378634193480429
interior,7,civil,0.04178758438744067
interior,8,gobierno,0.037169675544057756
interior,9,implicados,0.036694289932015386
interior,10,rey,0.03659429039897933
interior,11,partido,0.034609038990901356
interior,12,jefe,0.03352995537789406
interior,13,tejero,0.033078159012161004
interior,14,militares,0.03226220775717202
interior,15,grupo,0.031417373474360064
interior,16,guardia,0.03084031054561168
interior,17,interior,0.03040614446902809
interior,18,diputados,0.029570626248321723
interior,19,democracia,0.02949535010380564
interior,20,guardia civil,0.029361272379578286
