trigram,frequency
teniente coronel tejero,212
img jpeg img,93
jpeg img jpeg,93
supremo justicia militar,89
consejo supremo justicia,87
general milans bosch,73
teniente general milans,71
general guardia civil,67
pasó xerocopia sección,65
pasó xerocopia general,65
xerocopia general jefe,61
capitán guardia civil,54
coronel san martín,52
general torres rojas,49
xerocopia dir gral,48
grupo técnico apoyo,46
técnico apoyo coordinación,46
informativa vista oral,45
cap garcia almenta,45
justicia militar desarrollo,44
coronel guardia civil,44
pasó xerocopia dir,43
general jefe pasó,42
jefe pasó xerocopia,42
vista oral consejo,39
oral consejo supremo,39
militar desarrollo sesion,39
desarrollo sesion correspondiente,39
incidencias estimaciones desarrollo,37
teniente guardia civil,37
