trigram,frequency
teniente coronel tejero,212
supremo justicia militar,89
consejo supremo justicia,87
general milans bosch,73
teniente general milans,71
general guardia civil,67
capitán guardia civil,54
coronel san martín,52
general torres rojas,49
grupo técnico apoyo,46
técnico apoyo coordinación,46
informativa vista oral,45
cap garcia almenta,45
justicia militar desarrollo,44
coronel guardia civil,44
vista oral consejo,39
oral consejo supremo,39
militar desarrollo sesion,39
desarrollo sesion correspondiente,39
incidencias estimaciones desarrollo,37
teniente guardia civil,37
código justicia militar,37
general jefe sección,37
jefatura superior policia,36
capitán gómez iglesias,34
antonio tejero molina,34
estimaciones desarrollo sesion,33
dios guarde años,33
teniente coronel guardia,32
tte coronel tejero,31
